"date","lake","site","thermo_depth","schmidt_stability","strat"
"2004-03-30","Rotoiti","Okawa",0,3.26342418858948,0
"2004-03-30","Rotoiti","3",29.3926208812657,279.588951942563,1
"2004-03-30","Rotoiti","4",22.3297504272279,369.292881553991,1
"2004-03-30","Okataina","1",21.1851308318392,501.022262760868,1
"2004-03-30","Rotoehu","3",0,23.1856053888091,0
"2004-03-30","Rotoma","1",20.9189065207818,554.848282228238,1
"2004-04-05","Rotorua","2",0,-0.649105502546771,0
"2004-04-05","Rotorua","5",0,9.83142768977206,0
"2004-04-05","Tikitapu","1",15.6335378951324,365.420993093284,1
"2004-04-05","Tarawera","5",24.4154856193794,491.516535987777,1
"2004-04-05","Okareka","1",14.395403544679,418.884918611236,1
"2004-04-21","Rotoiti","Okawa",0,11.1054401265162,0
"2004-04-21","Rotoiti","3",25.7677420373041,206.973528604665,1
"2004-04-21","Rotoiti","4",31.5658004169344,234.487951427333,1
"2004-04-21","Okataina","1",23.4453821650746,383.602496960794,1
"2004-04-21","Rotoehu","3",0,25.566406873832,0
"2004-04-21","Rotoma","1",24.6861744396616,403.970249901547,1
"2004-04-22","Rotorua","2",0,2.58729320464254,0
"2004-04-22","Rotorua","5",0,14.3212014757401,0
"2004-04-22","Tikitapu","1",17.7313764583532,253.930938826791,1
"2004-04-22","Tarawera","5",25.4679004065435,366.726526630423,1
"2004-04-22","Okareka","1",15.4826660242131,278.838178310471,1
"2004-04-23","Okaro","1",10.2371003270502,179.237391691288,1
"2004-04-23","Rotomahana","2",0,122.965170999343,0
"2004-04-23","Rerewhakaaitu","1",0,24.8236601679798,0
"2004-05-18","Rotoiti","Okawa",0,8.19798399932415,0
"2004-05-18","Rotoiti","3",0,83.6540579780817,0
"2004-05-18","Rotoiti","4",0,114.620901841154,0
"2004-05-18","Okataina","1",27.1028144088689,271.114970102571,1
"2004-05-18","Rotoehu","3",0,19.9290674338773,0
"2004-05-18","Rotoma","1",28.1173002465278,272.545014284221,1
"2004-05-19","Rotorua","2",0,-5.03828379780128,0
"2004-05-19","Rotorua","5",0,31.8703549468265,0
"2004-05-19","Tikitapu","1",20.3705601489781,168.011753967745,1
"2004-05-19","Tarawera","5",28.9553464010428,248.600929158888,1
"2004-05-19","Okareka","1",18.8035006284253,171.800693457568,1
"2004-05-20","Okaro","1",11.5768518356348,110.33198067084,1
"2004-05-20","Rotomahana","2",0,20.2084351759683,0
"2004-05-20","Rerewhakaaitu","1",0,13.6427337612404,0
"2004-06-15","Rotoiti","Okawa",0,3.00712252380173,0
"2004-06-15","Rotoiti","3",0,61.6622658113006,0
"2004-06-15","Rotoiti","4",0,23.1524208696579,0
